date,tower,room,affected_system,time_reported,time_resolved,problem,action,recommendation,status,attended_by,time
11/09/13,TBM TW,821,Internet,11:30 am,11:45 am,Mr Chua complain on weak WIFI signalinside room,"Installed 2nd TPLINK AP at Living Room Area with IP 100.0.8.211,tested connection on his Laptop and IPHONE was successfull",,Exisiting AP inside bedroom needs to be check when guest checkouts on Nov. 15,John Pacion,12:59:57 PM
01/04/13,TBM TW,533,Vingcard,11:30 am,11:35 am,RA reported that battery cover of access lock inside the room was not properly installed,"repair back cover and re-install accesslock cover,possible tampering on cover was noticed.",,Accesslock secure and tested ok!,John Pacion,06:29:29 PM
01/08/13,TBM TW,634,Internet,9:31pm,9:38pm,Guest request assistance for internet connection,"Assist the guest in logging in at wifi and notice that the reason why he cant login because he was inputting wrong username, assist the guest correctly",,Guest connected already to internet,Rommel Sardoma,10:41:33 PM
01/10/13,TBM TW,1529,Internet,02:40 pm,02:55 pm,Guest reported that there is no Data port on wall outlet for LAN.,"Found out that Data port had fallen inside wall, retrieved dataport and reinstall on faceplate, test connection on laptop using LAN cable was ok!",,internet restored.,John Pacion,06:26:12 PM
01/11/13,TBM TW,1825,Telephone,10:30 pm,10:40 pm,eng called from the rm saying that the guest couldnt make a rm to rm call.,checked the analysis group and it was zero. changed it to 10.,,done,Jeff Gaspar,11:12:04 PM
01/12/13,TBM MW,1001,Telephone,9:00am,10:00am,Report by Eng Alex No dial tone all tel unit.,"Found only line from bathroo phone no dial tone and it was shorted line. Used pairing from Kitchen tel line. Test ok reported to GSC, RA and Eng.",,done,Mark Ruaya,05:45:08 PM
01/12/13,TBM TW,2036,Internet,10:47pm,11:25pm,internet low connection,"Check the connection and found out that it was connected but cant browse interenet, locate the router at the back of the tv at the sala and even at the back of the tv inside the room but cant find, install router at rm 2036 and check again the connection and browsing at internet.",,Internet ok now,Rommel Sardoma,11:52:46 PM
01/13/13,TBM TW,1228,Internet,3:30pm,3:40pm,Guest requesting to setup repeater wireless inside his room his phone dectected low signal.,Setup TPlink wireless router test ok. Alert on Opera when guest checkout on Jan 24 input by Ms Manie.,,done,Mark Ruaya,04:21:55 PM
01/13/13,TBM TW,530,Internet,6:00 pm,6:10 pm,requested lan cable,delivered lan cable,,done,Jeff Gaspar,06:11:07 PM
01/13/13,TBM MW,901,Telephone,8:12pm,8:22pm,Blinking light at the phone,"Check the phone and notice a blinking light for message indicator, dismantle phone outlet and change its polarity, check again the phone and found no blinking light,test call",,Phone already ok now,Rommel Sardoma,09:37:16 PM
01/15/13,TBM TW,622,Internet,9:36pm,9:40pm,Guest request lan cable,"Bring the guest a lan cable for possible no lan cable, check the drawer and found lan cable",,Guest already satisfy,Rommel Sardoma,10:37:51 PM
01/17/13,TBM MW,608,Internet,5:27pm,5:36pm,Guest connect button grayout,"chek the ipad of the guest and ask some history of her ipad and as per her she was previously connected at laguna 1, advice the guest to logout first then relogin, guest internet ok now",,Guest satisfy now,Rommel Sardoma,07:07:59 PM
01/18/13,TBM TW,1228,Internet,10:30 pm,10:40 pm,internet problem,tried resetting the ap. performed 1 hr test in the office then reinstalled it back to the rm around 12midnight,,still under monitoring,Jeff Gaspar,11:45:34 PM
01/19/13,TBM TW,10223,Telephone,2:18pm,2:25pm,Rm 1023 phone hangup,"Observe telephone behavior and notice that even the handset was not lifted the phone automatically dial operator,replace the telephone and test",,Phone ok now,Rommel Sardoma,02:26:50 PM
01/22/13,TBM MW,1613,Internet,7:20pm,7:34pm,Guest internet connection son of RM,Removed Mac Add of his laltop wifi from block list of Mac Filter on antlbas. test ok Advised to used his room access code.,,Done,Mark Ruaya,07:35:49 PM
01/23/13,BHOTEL,706,Vingcard,2:45pm,3:36pm,rm 706 card reader malfunction,"isolate the problem by replacing the battery but still same problem, replace the card reader and reprogram, request assistance at rm attendant to check the card reader, tested ok",,Rm 706 card reader ok now,Rommel Sardoma,02:28:51 AM
01/24/13,TBM TW,732,Vingcard,9:40 am,9:50 am,With Eric-practicumer check low of bat of guest accesslock,Replace battery and cassette and check events for correct room number.tested on RFID card was ok,,Guest lock ok!,John Pacion,05:12:02 PM
01/24/13,TBM TW,1425,Internet,4:10 pm,4:20 pm,internet assistance,the guest was connected via wifi and lan at the same time. disabled wifi and reconnected him through cable.,,done,Jeff Gaspar,05:56:31 PM
01/24/13,TBM TW,828,Internet,10:47pm,10:52pm,Guest at rm828 cant connect to internet,"Check wifi connection and found ok but low frequency, ask the guest if he wants to use a fast connection of internet then advice the guest to use the wired connection,internet connection ok now",,Guest already satisfy,Rommel Sardoma,10:54:35 PM
02/18/13,TBM MW,1507,Internet,7:10 pm,7:20 pm,internet assistance,showed the guest how to use his access code.,,done,Jeff Gaspar,08:08:46 PM
11/09/13,TBM TW,1423,Internet,4:47PM,4:57PM,Cant login,"Guest already at bellevue webpage but cant browse, check the username and password of the guest and found out that wrong password, get new password at GSC,login again and it was ok already",,Guest Already satisfy,Rommel Sardoma,11:39:53 PM
11/10/13,TBM MW,1815,Internet,7:55am,8:05am,Guest internet problem via wifi,Found out got the bellevue login page. Found out guest using korean language in encoding the user password. Advised her to used english key in encoding the user Id and password.,,Guest successfully login to internet. ,Mark Ruaya,09:19:16 AM
11/11/13,TBM MW,1104,Internet,8:24pm,8:34pm,Slow internet connection,"Create userid and password which was dedicated only to guest, this guest already call several times for its internet connection, after give the username and password guest already happy",,Guest already satisfy,Rommel Sardoma,12:27:07 AM
11/11/13,TBM MW,1128,Internet,7:28pm,7:41pm,on/off internet browsing,"Add the mac address of the guest iphone at antlabs, advice tha guest to observe the connection, guest did not call anymore",,Guest Already Satisfy,Rommel Sardoma,12:28:36 AM
11/11/13,TBM TW,1436,Internet,9:50pm,9:59pm,Internet Assistance,"Assist the guest at rm1436 on how to connect at wifi and how to make the bellevue webpage appear at the internet browser, guest already connected and can browse internet",,Work done,Rommel Sardoma,12:10:52 AM
11/12/13,TBM TW,1136,Internet,07:30 am,07:45 am,"Guest cannot connect to wifi,"," Restarted WIFI inside guest room.and refresh connection on laptop and iphone,internet was restored.",,internet stable,John Pacion,05:52:46 PM
11/12/13,TBM MW,1014,Telephone,8:10 am,8:15 am,Guest advised telephone has no dialtone.only busy tone,Setin/setout local on OM server and advised GSC to call up guest and retry using the phone.,,No more feedback received from guest later today.,John Pacion,06:00:02 PM
11/12/13,TBM MW,1904,Internet,11:10 am,11:20 am,Guest cannot connect on his device.,restarted WIFI AP under the TV stand and referesh internet connection,,internet restored on devices.,John Pacion,06:03:40 PM
11/12/13,TBM TW,2022,Internet,11:35 am,11:50 am,Guest cannot connect to WIFI using multiple accounts from FRONT DESK,"Found out that WIFI user accesscode created for November password is invalid,temporary ask GSC for our WIFI access code to be used by guest on their devices",,Connected all devices and test internet connection was stabled,John Pacion,06:07:11 PM
11/13/13,TBM MW,915,Internet,10:36pm,10:46pm,Cant connect at wifi,"check the wifi at the room and found cant connect even at the guest phone, reset the router and after reset advice the guest to try again, phone connect at wifi already",,Guest already satisfy,Rommel Sardoma,03:10:17 AM
11/13/13,TBM MW,715,Internet,9:20pm,9:33pm,no login page,"check the wifi at the room and found connected using MIS laptop but the laptop of the guest cant connect to wifi, reset the router at wd and after reset reconnect the guest laptop at the wifi and found already ok and connected ",,Guest Already Satisfy,Rommel Sardoma,03:12:08 AM
11/13/13,TBM MW,1016,Internet,3:17am,3:32am,slow internet connection,"Check the wifi at the room and found cant connect using MIS laptop and slow browsing at the guest laptop, reset the router and advice the guest to disconnect and connect its wifi, browse internet using video and as per guest it was already ok",,Guest Already satisfy,Rommel Sardoma,03:45:35 AM
11/13/13,TBM MW,1815,Vingcard,04:10 pm,04:20 pm,Ms. Anne-HSKPNG  called up regarding low bat on accesslock as reported by RA.,Replace battery and reprogrammed acceslock according to room number,,tested by RA RFID key was successful.,John Pacion,06:59:01 PM
11/13/13,TBM MW,710,Internet,11:50 am,12:10 pm,Guest complain of frequent disconnection on WIFI connection at his room.,"Disable exisiting AP at the back of TV and setup secondary AP on Guest table,found out that AP at the back of TV has no LAN connection.",,Advised FO Gail to log on Opera for pullout of 2nd AP when guest checkout.,John Pacion,07:08:28 PM
11/13/13,BHOTEL,907,Vingcard,9am,10am,Reported by Eng Joseph door lock can open without using key card.,found out battery cassette and module alread corroded. Replaced module and replaced batt and cassette.,,test on both guest key and RA key ok.,Mark Ruaya,07:14:14 PM
11/14/13,TBM MW,811,Internet,9:45pm,9:55pm,no login page,"reset the wifi router at wd and after reset advice the guest to connect again, internet ok already",,Guest satisfy,Rommel Sardoma,03:15:35 AM
11/16/13,TBM MW,701,Internet,10:31pm,10:38pm,slow internet,Upon arrival at the room the guest need to rest and come back tomorrow to reset and check the wifi,,done,Rommel Sardoma,04:35:21 AM
11/16/13,TBM TW,733,Internet,8:49pm,8:58pm,no login page,Reset the wifi switch at the room and advice the guest to try again and as per guest login page already appear,,work already done,Rommel Sardoma,04:38:00 AM
11/16/13,TBM MW,808,Internet,6:51pm,6:58pm,Cant connect at wifi,Check the iphone of the guest and advice to turn off and turn on the wifi after doing it iphone can connect now at wifi,,Work done,Rommel Sardoma,04:41:07 AM
11/16/13,TBM MW,811,Internet,2pm,2;20pm,check wireless router problem due to internet problem,Power On router test on both lan and wifi ok. ,,For observation. In case hapen again need to replace the router.,Mark Ruaya,05:19:35 PM
11/17/13,TBM TW,1135,Internet,9:30 am,9:45 am,Guest complain of weak WIFI signal inside his room,Reset WIFI at the back of TV and guest was able to connect to his device,,Internet restored.,John Pacion,04:57:09 PM
11/17/13,TBM TW,1224,Internet,10:00 am,10:10 am,"Guest advised weak signal room,possible WIFI power switch on lampshade on guest table is Off.","Reset switch of lampshade and place sticker notification for WIFI Power, refresh guest device connection and internet was enabled",,orient guest on pwoer switch of WIFI.,John Pacion,05:07:47 PM
11/17/13,TBM TW,1123,Internet,1:30 pm,1:45 pm,"No WIFI signal inside guest room,as reported by GSC Donna","Found out that power switch of wifi on guest table was off,reset switch and place sticker notification,guest device connected to internet. ",,internet ok!,John Pacion,05:10:01 PM
11/17/13,TBM MW,1014,Internet,3:19 pm,3:25 pm,Guest cannot connect to WIFI...,"Reset AP power under TV compartment,refresh guest connection and internet was detected",,Internet enable on Guest device.,John Pacion,05:11:26 PM
11/19/13,TBM TW,2022,Telephone,12pm,12:12pm,Reported by HK Arnold Room1  bathroom phone no dial tone,Found out 1 end of spiral cord patched to tel phone main line. Connect to proper port test dial tone ok.,,fixed and restored,Mark Ruaya,06:25:52 PM
11/19/13,TBM TW,1121,Telephone,9am,9:10am,For setup of Speaker phone Bittel guest Mr. Many Chua VIP,Setup speaker phone with long extension cord test ok. And pulledout Original phone Teledex to MIS office for setup again once guest is checkout.,,Original phone for return,Mark Ruaya,06:30:09 PM
11/21/13,TBM TW,923,Internet,9:23pm,9:35pm,no login page,"Test the wifi at the rm using MIS laptop and found excelent, check the lan and found ok, when testing at guest laptop cant connect at wifi but can internet using lan, guest will check his laptop for wifi connection outside and will call again if his wifi was really ok",,work done,Rommel Sardoma,04:49:45 AM
11/21/13,TBM MW,808,Internet,4:30 pm,5:20 pm,couldnt connect to wifi,"tried replacing the tplink behind the tv but didnt turned it off, turning only the wifi signal off. then installed new ap in the wd with ip 100.0.8.82. guest will depart on nov 24.",,done,Jeff Gaspar,07:37:16 PM
11/23/13,TBM TW,1626,Internet,5:10pm,5:30pm,guest samsung phone obtaining IP only.,Found out only guest phone cannot access to the internet obtaining ip only. Tried to add phone mac add to antlabs it take less than 15min to connect. ,,Test internet connection ok. Guest satisfy.,Mark Ruaya,06:01:39 PM
11/23/13,TBM TW,1626,Internet,9:47pm,9:57pm,connected but cant browse,"Check the gadget of the guest and found connected but still scanning connections and cant browse but ok on MIS laptop, reset the router inside the room and after reset and several checking of connection guest wifi connection was already ok",,Work done,Rommel Sardoma,11:46:34 PM
11/23/13,TBM MW,610,Internet,7:36pm,7:58pm,slow internet connection,"check the wifi connection inside the room and found ok but slow process using speedtest and even the lan connection, guest laptop and MIS laptop are both the same encounter connection, remove the MAC add of the guest at antlabs w/c the guest said that it was on the server, issue new password at the guest with guest plan, advice the guest to check again the speedtest after input new password ,internet ok now",,work done,Rommel Sardoma,11:50:39 PM
11/24/13,TBM MW,1104,Internet,2pm,2:20pm,Guest internet problem disconnection hapen at night.,with sir John switch his room network to pfsense from ground flr MW  to 11th flr MW with 8port dlink sw and to his room. Test on both wifi and lan speedtest and video streaming ok and advised guest at night speed more become stable due to no more event at that time. ,,To be monitor by rommel and need to callup the guest regarding the status of his internet.,Mark Ruaya,04:24:47 PM
11/24/13,TBM TW,730,Internet,7:10 pm,7:15 pm,"Guest cannot connect to WIFI inside room, LAN connection was ok but guest prefer to use WIFI.","test wifi connection on my phone was ok,advised guest to disable ANTIVIRUS on his laptop and tried adding MAC address of laptop to Antlabs, internet was enabled",,wifi connection ok ,John Pacion,07:33:05 PM
11/26/13,TBM MW,502,Internet,8:01pm,8:12pm,cant connect,"wifi was ok at the room upon checking at MIS laptop, wifi is good too at guest iphone but not in the guest laptop, reset the router and check the laptop of the guest but still same, guest admit that it the laptop of the guest has a problem",,Guest satisfy,Rommel Sardoma,04:43:17 AM
11/26/13,TBM MW,617,Internet,9am,9:20am,Thru GSCThea Guest request to check room internet connection when guest is out.,with SG testing of internet connection was fine on both lan and wifi. Also adjusted AP signal to low from high. Advised Ms Gem to put a alert on opera once guest will call again regarding his internet connection.,,done. For checking once guest callup,Mark Ruaya,09:53:01 AM
11/27/13,TBM MW,1104,Internet,6pm,6,Guest already checkout. ,Replaced AP at TV with new TPlink same IP allocated for this room. Test on both lan and wifi internet connection ok. Adjust AP signal to medium.,,done,Mark Ruaya,06:38:43 PM
11/27/13,TBM MW,1001,Vingcard,12am,12:30am,Repoted by RA door lock not lock not working can open even in outside.,Found out door striker plate not properly fitted to vingcard lock. With Eng Erick and Ariel they make adjustment on striker plate. Test on door ok,,done,Mark Ruaya,06:43:52 PM
11/27/13,TBM TW,1828,Internet,10:10am,10:15am,Guest requested to reboot rooms AP due to low signal.,Remote AP adjust signal from low to medium and peformed reboot. Guest dont want us to go to his room. ,,As of now guest did not call again. AP monitored online.,Mark Ruaya,06:48:31 PM
11/28/13,BHOTEL,315,Vingcard,03:00 pm,03:30 pm,Boy Eng. reported accesslock of room acannot be open due to low bat.,"Replace battery with cassette and reprogram accesslock,tested by RA keycard was already ok",,ok,John Pacion,06:20:02 PM
11/28/13,TBM TW,923,Internet,6:15 pm,6:25 pm,"Guest cannot connect to the internet,already reset power of AP inside room.cannot get IP address for WIFI connection",Provided static ip address from my cellphone and internet was restored.,,intternet was ok!,John Pacion,06:22:16 PM
11/29/13,TBM MW,1007,Internet,2:42pm,2:50pm,Guest internet connection problem via wifi,Upon checking guest already connected to the wifi but did not open any internet browser. Showed guest on how to login to bellevue login,,Done guest satisfy,Mark Ruaya,06:20:47 PM
11/29/13,TBM TW,635,Vingcard,10:54am,11am,Reported by Ms Ann HK thru sir Jeff vingcard indicated lowbat.,guest room was occupied guest not around at this moment. With SG foundout vingcard not lowbat or no other color indicated after green light prompted.,,done,Mark Ruaya,06:23:47 PM
11/30/13,TBM MW,917,Internet,11:10 pm,11:20 pm,Guest has intermittent wifi connection on multiple device.,"Tried rebooting WIFI many time still problem occurs,setup 2nd  TPLINK AP on guest table, used existing AP with IP 100.0.8.82 test at MIS before installing on guest room.turn off power of original AP at the back of AP",,No WIFI concern for other guest.,John Pacion,01:29:41 AM
11/30/13,TBM MW,715,Internet,,,Guest already checkout,"Returned AP at the back of TV, adjusted signal power from low to medium. Test ok on both and wifi",,done,Mark Ruaya,05:47:20 PM
11/30/13,TBM MW,917,Internet,2pm,2:20pm,Guest already checkout,Reconfigured AP with adjusted signal ch to medium and returned to original location at the back of TV. test lan and wifi ok.,,Once it happen again AP need to replace it with new.,Mark Ruaya,05:50:07 PM
11/30/13,TBM MW,605,Internet,3:06pm,3:30pm,guest internet problem via wifi,Found out guest obtained wrong ip 192.168.0.150. Restart several time but ip did not release. Put static IP on his tab and advised guest to remove when using outside the hotel. Advised him to connect tom using DHCP connection.,,done,Mark Ruaya,06:00:08 PM
11/30/13,TBM MW,1114,Internet,7:24pm,7:33pm,no login page,"check the ipad of the guest and found connected at wifi, reconenct the wifi and go to safari and type yahoo.com, after typing login  page already appear, internet of the guest ok",,Work Done,Rommel Sardoma,11:21:08 PM
12/01/13,TBM TW,2029,Internet,12:28am,12:37am,low wifi signal,"check the pinging monitor of the router and found cant access, come over to the room of the guest and reset the router, advice the guest to of and on its wifi, after doing it wifi signal already ok",,work done,Rommel Sardoma,12:39:26 AM
12/01/13,TBM MW,703,Internet,8:18am,8:30am,guest internet problem via wifi on her MacBook,Found out only her MacBook has no internet connection but connected to bellevue SSID some network setting canot change and grayout. Already bypass the mac add to antlabs but still not resolved. On her other devices like phone internet were ok.,,Guest agreed possible problem on her apple macbook,Mark Ruaya,08:36:17 AM
12/01/13,TBM TW,829,Internet,9;46am,10am,Guest internet problem via wifi very low signal,found out AP hangup no power indicated. Setup temporary tplink AP IP 100.0.100.110 from 100.0.8.82.,,For pullout of old AP and setup new TPlink IP and must change it to original IP 100.0.8.29.,Mark Ruaya,08:55:36 AM
12/01/13,TBM TW,836,Power Extension,12pm,12:10pm,Guest requesting for Power Extension,Care of MsDonna to be return once guest checkout on Dec 22 13,,For return once guest checkout,Mark Ruaya,09:00:28 AM
12/01/13,TBM MW,1709,Internet,1pm,1:20pm,Guest problem on his internet speedtest.,created new account with troutted plan for his Acer Laptop. And Add the Mac Add of his other 2 devices to antalbs.,,Guest tested speedtest and he satisfy for the result.,Mark Ruaya,09:06:40 AM
12/02/13,TBM TW,724,Internet,11:10 am,11:20 am,Guest cannot connect to wifi as reproted by GSC,"Orient Guest on WIFI power switch located near the guest table,guest refresh WIFI connection and internet was restored.",,internet ok!,John Pacion,06:30:17 PM
12/02/13,TBM TW,921,Internet,1:00 pm,1:25 pm,As advised by Ms. Lex-FO Mr Chua will checkin later this afternoon and need to setup speaker phone and test wifi,Assist Mark R install Bittel Speakerphone  and TPLINK AP with IP address 100.0.8.211 on Sala and also repair connection on WIFI onside bedroom.Logged by KEvin-FO on opera for checkout this coming Dec.9.,,telephone and WIFI ok!,John Pacion,06:34:19 PM
12/03/13,TBM MW,703,Internet,,,Guest internet problem via wifi,Guest experienced internet disconnection. Advise to try again later due to switching of primary internet radio to new radio both primary and backup.,,Guest already connected to internet. done,Mark Ruaya,06:49:35 PM
12/03/13,TBM TW,1229,Internet,3:00 pm,3:15 pm,Guest cannot connect to company website but connected to internet using facebook.,Advised to reboot laptop and found out she forgot to enter VPN code during connection.,,internet ok!,John Pacion,07:07:26 PM
12/04/13,BHOTEL,809,Vingcard,3:30pm,3:42pm,rm809 FO key not working,"Reprogram the lockset at rm809, after reprogram test FO room key and RA room key,test ok",,Work Done,Rommel Sardoma,11:40:24 PM
12/06/13,TBM MW,711,Internet,4;11pm,4;30pm,guest canot connect via wifi,Found out both guest and our devices only acquiring. Changed ssid from bellevue to BELLEVUE. Pulledout original AP 100.0.7.11( no problem) and setup AP at the writing desk w/ IP 100.0.100.100. ,,Test ok. Original AP for return.,Mark Ruaya,06:27:32 PM
12/06/13,TBM MW,910,Internet,6pm,6:15pm,Guest internet connection via lan,Found out guest laptop lan adapter was diasble. Enable adapter but cant get IP advised to restart his laptop. After restart the lan connection ok.,,done,Mark Ruaya,06:29:42 PM
12/07/13,TBM MW,905,Telephone,4pm,4:20pm,Has irritating sound on the tel unit.,Replaced unit from room901 sala area. On sala area test tel unit has minimal sound but not irritating just like from room905. ,,done,Mark Ruaya,05:21:34 PM
12/07/13,TBM TW,1636,Internet,11:30am,11:55am,Guest internet connection via wifi only acquiring IP address.,Reset AP power and reconnect guest and its successful both phone now can connect to the internet.,,done,Mark Ruaya,05:25:25 PM
12/07/13,TBM MW,506,Internet,2:23pm,2:45pm,Cant connect to wifi,"Arrive at the room and found guest can easily connect to wifi and cant login at internet but for a few minutes it was been disconnected although guest properly login at bellevue webpage, add the mac add of the guest iphone, after adding advice the guest to try again and guest connected now w/o disconnecting",,Guest Already Satisfy,Rommel Sardoma,11:26:53 PM
12/08/13,TBM MW,711,Internet,1;30pm,1:50pm,Guest room already checkout. Original AP for return,"With sir john pulledout AP still setup under the writing table without lan connected, causing network acquiring. Returned Original AP 100.0.7.11. Test ok",,done,Mark Ruaya,04:44:05 PM
12/08/13,TBM TW,625,Internet,10:16pm,10:28pm,Cant browse internet,"check wifi and found connected but cant browse website, check internet settings and found out that a proxy was configure at the connections on internet option, remove the proxy and refresh internet and it was ok already",,Guest Already Satisfy,Rommel Sardoma,12:21:18 AM
12/09/13,TBM MW,904,Internet,1:30 pm,1:45 pm,"Guest cannot connect to Laptop wifi and cellphone,obtaining ip address.",restarted AP link at the back of TV and refresh connection on both devices,,internet restored on guest devices.,John Pacion,06:30:57 PM
12/12/13,BHOTEL,712,Internet,9:40pm,10:05pm,canr browse internet,"Check the wifi connection of the guest and found connected but cant browse internet, check all settings at the guest laptop and found all ok,add the laptop mac add of the guest and after it internet was ok already, add the mac add of the guest iphone too",,Guest already satisfy,Rommel Sardoma,11:46:32 PM
12/13/13,TBM TW,1423,Internet,03:30 pm,03:40 pm,"Guest complain of weak wifi signal, upon checking his device wifi connection was ok,assisted with Mark r.","test watching on youtube and no buffer was encountered,added macaddress on antlabs with due date on Dec.20",,internet wa sok!,John Pacion,12:26:46 AM
12/14/13,TBM MW,611,Internet,9:55pm,10:12pm,Cant connect to wifi,"check the wifi connection of the guest and found conencted but cant browse, reset the router at the back tv, reconnect wifi and after it check internet browsing and found already ok",,Guest Already Satisfy,Rommel Sardoma,11:54:56 PM
12/15/13,TBM MW,1801,Internet,8:23am,8:31am,guest internet problem,Upon checking guest already resolved the internet problem,,guest did not asssit anymore,Mark Ruaya,06:35:22 PM
12/15/13,TBM TW,1113,Telephone,01:30 pm,01:40 pm,Guest complain of low volume of speaker phone on Teledex (white) as per GSC -Amore.,Replace temporary with Manavox Speaker phone test calling to GSC was ok.Log on Opera by Ms. Klarissa.,,checkout on Dec. 20.,John Pacion,07:07:11 PM
12/15/13,TBM TW,529,Internet,04:20 pm,04:30 pm,"Guest advised slow WIFI signal on his room, as per GSC Donna.","Upon checking guest was able to connect to telephone, concern was on laptop, advised to check if antivirus on netwrok was activated,guest will do checking by himself,advised connection was ok!",,internet enabled.,John Pacion,07:09:11 PM
12/15/13,TBM TW,1423,Internet,4:39pm,4:59pm,Cant connect to wifi,"Reset the router at the room and check using MIS laptop and found already ok and test by the guest using iphone and it was ok but it was not ok on his tablet although connected but cant browse internet, advice the guest to check his tablet for wifi connection somewhere here at the hotel and if ever he got connected and can browse internet call MIS, guest did not call anymore today",,Work Done,Rommel Sardoma,12:13:57 AM
12/15/13,TBM TW,1723,Internet,11:54pm,12:07am,Slow wifi,"Reset the wifi remotely but still as per guest wifi was slow, visit the guest and turn off and turn on the router and try using MIS laptop and it was ok, advice the guest to test again the streaming that he do and as per him streaming was already ok ",,Work Done,Rommel Sardoma,12:16:02 AM
12/16/13,TBM TW,1529,Internet,6:49pm,7:07pm,Internet Assistance,"Check the wifi connection at the room and found very low and as per guest too, make the transmit power set to high but still the same wifi very low, check the router and found out that the wireless button was turn off, turn on the wireless button and make a test, wifi frequency already excellent",,Work done,Rommel Sardoma,10:39:14 PM
12/19/13,TBM MW,808,Internet,5:06pm,5:58pm,cant browse internet,"Check the wifi at the room and found connected on MIS laptop and even the laptop and gadgets of the guest but cant logon, add mac add of all gadgets but same problem, reset router but nothing happen, notice that another router was install under the WD turn of that router and advice the guest to check again and it was already ok ",,Work done,Rommel Sardoma,11:49:04 PM
12/22/13,TBM TW,721,Internet,3:30 pm,3:40 pm,Guest cannot connect to WIFI on laptop,"Orient guest how to connect to TBM wifi on windows 7 OS laptop, internet was enabled",,test connection ok!,John Pacion,12:16:02 AM
12/22/13,TBM TW,1728,Internet,9:10 pm,9:20 pm,"Guest cannot connect to WIFI as reported by GSC,no pinging on INFOview monitoring laptop.","reboot AP at the back of TV and reconnected on laptop and Iphone, internet connection was ok!",,internet enabled.,John Pacion,12:19:04 AM
12/24/13,TBM TW,1832,Internet,12;12pm,12:20pm,guest internet problem thru wifi,Upon checking guest already managed to connect to the internet.,,done,Mark Ruaya,03:57:55 PM
12/25/13,TBM TW,1926,Internet,6:10pm,6:20pm,Cant connect at wifi,"Check the laptop of the guest and found connected at wifi but cant login because the username was not complete which came at FO, guest given username is 1926 instead of t1926 the reason the guest cant connect at internet, advice the guest to put at t at the starting of username, after it guest already connected at internet",,work already done,Rommel Sardoma,11:18:26 PM
12/25/13,TBM TW,1730,Internet,8:58pm,9:03pm,wrong username and password,"when i arrive at the guest rm found out that the guest didnt click on its iphone the connect button after typing username and password, assist the guest on how to connect to internet",,Guest Already Satisfy,Rommel Sardoma,11:20:33 PM
12/27/13,TBM MW,516,Vingcard,11:20am,11:30am,Vingcard indicated red light,Found out 2 guest key card not working on access lock but on my key card it is working. Reprogrammed access lock test ok on 2 guest key and our key.,,done,Mark Ruaya,05:26:09 PM
12/28/13,TBM TW,1636,Internet,8:31pm,8:58pm,cant connect at wifi,"Reset the router but still same problem,connect at lan port and found no connection,check the backbone of the router and connect at laptop and found no connection, trace the line at 15th flr idf and reset the connection at the switch, after doing it wifi at guest room was ok",,Work done,Rommel Sardoma,11:47:55 PM
12/28/13,TBM MW,811,Internet,7:03pm,7:18pm,cant connect at wifi,"Check the wifi at the guest iphone and found cant connect, reset the router and still same problem, found out another tplink was still install at WD, pull out other tplink and after it wifi was ok",,Work done,Rommel Sardoma,11:49:49 PM
12/31/13,TBM TW,528,Vingcard,09:20 pm,09:30 pm,Guest cannot come inside room due to red lite indicated on accesslock,"upon checking time of accesslock is not sync with server,reprogrammed accesslock and with ms. glennis keycard test accesslock was ok!",,ok,John Pacion,04:49:12 PM
12/31/13,TBM TW,1636,Internet,09:40 pm,09:45 pm,Guest cannot connect to WIFI on inside bedroom.,restarted both wifi LINKSY(sala) and TPLINK (Bedroom) recoonect guest device and internet connection was enabled.,,internet was ok!,John Pacion,04:53:18 PM
12/31/13,TBM TW,624,Internet,2:45pm,2:50pm,can connect to wifi,"Check the wifi at the room using the guest laptop and found no wifi detect, check the switch of the wifi and found off, turn on the wifi switch and it was ok already",,Guest already satisfy,Rommel Sardoma,10:23:06 PM
12/31/13,TBM MW,810,Telephone,3:15pm,3:20pm,bed side phone no dialtone,"check the phone and found no dialtone, reconnect the line cord and test and found already ok",,Work done,Rommel Sardoma,10:24:37 PM
12/31/13,TBM TW,1928,Internet,5:08pm,5:20pm,Wifi assistance,"As i arrive at the room found out that it was the price water guest, need fast internet, create exclusive username and password for the guest which expired upon cehckout on Jan 2 to make his connection fast",,Guest Already Satisfy,Rommel Sardoma,10:26:45 PM
01/01/14,TBM TW,1229,Internet,10:01am,10:15am,Guest internet problem via wifi,"Upon checking found out only guest laptop cannot connect to the internet via wifi. Guest phone and table including our service laptop no problem connecting to the internet.
Advised guest to use temporarily lan cable and successfully connected. Advised guest try again wifi connection later.",,Guest agree. Done,Mark Ruaya,05:39:20 PM
01/01/14,TBM TW,1523,Internet,11:04am,11;15am,guest problem via wifi no bellevue wifi detected.,found out wifi switch was Off no installed octopus adapter and sticker note.,,For installation of octupos and sticker.Guest checkout on Jan 2 2014,Mark Ruaya,05:41:18 PM
01/05/14,TBM MW,507,Internet,4:49pm,4:59pm,cant connect to wifi,"as per guest the connecting of wifi is ok but it was disconnecting, add the mac add of the guest iphone for continous wifi connection, guest iphone internet connection ok already",,Work Done,Rommel Sardoma,11:39:25 PM
